% program   : RTKPOST ver.2.4.2
% obs_start : 2019/10/29 01:44:23.0 GPST
% obs_end   : 2019/10/29 01:54:54.0 GPST
% pos_mode  : ppp-static
% solution  : forward
% tropo opt : saastamoinen
% ephemeris : broadcast
% antenna1  : ( 0.0000  0.0000  0.0000)
% ====================================  END OF HEADER
%  GPST           x-ecef(m)             y-ecef(m)      z-ecef(m)   Q 
2018/10/29 01:48:16.000  3664880.6478          1409190.2448        5009618.4014  6 
2018/10/29 01:48:17.000  3664881.4311          1409190.1756        5009619.4346  1 
2018/10/29 01:48:18.000  3664882.5622          1409190.0653        5009618.2476  6 
2018/10/29 01:48:19.000  3664879.4581          1409191.0878        5009618.7361  6 
2018/10/29 01:48:20.000  3664881.8036          1409190.2384        5009617.3624  6 
2018/10/29 01:48:21.000  3664881.1925          1409190.9173        5009619.4265  6 
2018/10/29 01:48:22.000  3664880.5496          1409190.3475        5009618.5156  6 
2018/10/29 01:48:23.000  3664881.7248          1409189.9574        5009617.4385  6 
2018/10/29 01:48:24.000  3664880.4493          1409190.3233        5009617.6215  6 
2018/10/29 01:48:25.000  3664881.3281          1409190.1853        5009617.8684  6 
2018/10/29 01:48:26.000  3664881.2146          1409190.7628        5009617.6392  6 
2018/10/29 01:48:27.000  3664881.2282          1409191.0796        5009618.5459  6 
2018/10/29 01:48:28.000  3664881.4398          1409189.1197        5009617.3901  6 
2018/10/29 01:48:29.000  3664880.7544          1409192.3466        5009618.5447  6 
2018/10/29 01:48:30.000  3664879.9358          1409190.4330        5009618.6350  6 
2018/10/29 01:48:31.000  3664880.0567          1409190.6967        5009618.1107  6 
2018/10/29 01:48:32.000  3664881.4480          1409191.0381        5009618.1558  6 
2018/10/29 01:48:33.000  3664882.0292          1409188.9478        5009618.2780  6 
2018/10/29 01:48:34.000  3664880.1213          1409190.3246        5009617.5465  6 
2018/10/29 01:48:35.000  3664879.6466          1409190.0584        5009617.9744  6 
2018/10/29 01:48:36.000  3664880.7463          1409190.4525        5009618.7212  6 
2018/10/29 01:48:37.000  3664881.1266          1409190.3536        5009617.6398  6 
2018/10/29 01:48:38.000  3664881.6334          1409191.2581        5009618.0867  6 
2018/10/29 01:48:39.000  3664882.1458          1409191.2520        5009617.8414  6 
2018/10/29 01:48:40.000  3664881.9743          1409189.9924        5009619.2937  6 
2018/10/29 01:48:41.000  3664880.9056          1409190.5165        5009618.3164  6 
2018/10/29 01:48:42.000  3664879.6420          1409189.3896        5009618.1996  6 
2018/10/29 01:48:43.000  3664880.9517          1409189.9137        5009618.5062  6 
2018/10/29 01:48:44.000  3664880.9476    1409191.2055        5009618.2914  6 
2018/10/29 01:48:45.000  3664881.7945    1409191.8904        5009619.1493  6 
2018/10/29 01:48:46.000  3664880.7164    1409189.7572        5009618.7402  6 
2018/10/29 01:48:47.000  3664880.9133    1409190.3956        5009618.5378  6 
2018/10/29 01:48:48.000  3664880.9586    1409190.2397        5009617.9403  6 
2018/10/29 01:48:49.000  3664881.6967    1409190.3144        5009618.3194  6 
2018/10/29 01:48:50.000  3664881.7275    1409191.0898        5009618.1988  6 
2018/10/29 01:48:51.000  3664880.9679    1409190.2143        5009618.4261  6 
2018/10/29 01:48:52.000  3664881.1514    1409190.7776        5009617.9279  6 
2018/10/29 01:48:53.000  3664880.3293    1409190.9165        5009618.2991  6 
2018/10/29 01:48:54.000  3664880.6392    1409190.1674        5009617.9859  6 
2018/10/29 01:48:55.000  3664880.3659    1409190.8393        5009618.2638  6 
2018/10/29 01:48:56.000  3664879.9959    1409191.1571        5009619.4510  6 
2018/10/29 01:48:57.000  3664880.3035    1409189.8632        5009618.0891  6 
2018/10/29 01:48:58.000  3664881.0200    1409190.5658          5009617.8584  6 
2018/10/29 01:48:59.000  3664881.1983    1409191.2317          5009618.6463  6 
2018/10/29 01:49:00.000  3664880.3761    1409188.9046          5009617.8030  6 
2018/10/29 01:49:01.000  3664882.1082    1409189.7294          5009618.3822  6 
2018/10/29 01:49:02.000  3664880.1000    1409190.0400          5009619.8574  6 
2018/10/29 01:49:03.000  3664881.1140    1409191.1254          5009617.9221  6 
2018/10/29 01:49:04.000  3664880.6642    1409190.4318          5009617.4521  6 
2018/10/29 01:49:05.000  3664880.4073    1409190.4575          5009618.9443  6 
2018/10/29 01:49:06.000  3664880.2872    1409191.3874          5009619.5366  6 
2018/10/29 01:49:07.000  3664881.4982    1409190.9756          5009618.1281  6 
2018/10/29 01:49:08.000  3664881.3561    1409191.3402          5009617.4217  6 
2018/10/29 01:49:09.000  3664880.0247    1409190.2819          5009618.8577  6 
2018/10/29 01:49:10.000  3664880.7310    1409189.4600          5009618.1049  6 
2018/10/29 01:49:11.000  3664879.7069          1409191.7514          5009617.9227  6 
2018/10/29 01:49:12.000  3664880.2550          1409191.0089          5009617.2416  6 
2018/10/29 01:49:13.000  3664881.2394          1409192.2472          5009618.5773  6 
2018/10/29 01:49:14.000  3664881.6651          1409190.3959          5009618.1353  6 
2018/10/29 01:49:15.000  3664880.7776          1409189.5310          5009618.9141  6 
2018/10/29 01:49:16.000  3664880.9015          1409190.7402          5009619.0179  6 
2018/10/29 01:49:17.000  3664879.5310          1409189.7894          5009618.4272  6 
2018/10/29 01:49:18.000  3664881.2482          1409189.4449          5009616.6674  6 
2018/10/29 01:49:19.000  3664880.3120          1409189.0711          5009617.1961  6 
2018/10/29 01:49:20.000  3664880.8045          1409190.7831          5009619.7862  6 
2018/10/29 01:49:21.000  3664880.5315          1409189.9218          5009617.2465  6 
2018/10/29 01:49:22.000  3664880.2500          1409191.3392          5009617.9974  6 
2018/10/29 01:49:23.000  3664880.8931       1409189.6859          5009619.4126  6 
2018/10/29 01:49:24.000  3664881.3840       1409189.3300          5009618.4545  1 
2018/10/29 01:49:25.000  3664881.5109       1409190.4154          5009617.7282  1 
2018/10/29 01:49:26.000  3664880.7080       1409191.0884          5009617.1877  1 
2018/10/29 01:49:27.000  3664880.5957       1409190.8567          5009619.0042  6 
2018/10/29 01:49:28.000  3664880.8926       1409188.7282          5009618.4274  6 
2018/10/29 01:49:29.000  3664881.9572       1409190.6721          5009618.1409  6 
2018/10/29 01:49:30.000  3664879.9728       1409189.1581          5009618.2604  6 
2018/10/29 01:49:31.000  3664880.7666       1409191.0191          5009617.9217  1 
2018/10/29 01:49:32.000  3664880.5356       1409190.6085          5009618.9640  6 
2018/10/29 01:49:33.000  3664881.5171       1409189.7161          5009618.6518  6 
2018/10/29 01:49:34.000  3664880.9680       1409190.2578        5009617.8257  6 
2018/10/29 01:49:35.000  3664880.9217       1409188.9276        5009617.9251  6 
2018/10/29 01:49:36.000  3664880.8187       1409190.6380        5009618.8827  6 
2018/10/29 01:49:37.000  3664879.4600       1409190.6787        5009617.8226  6 
2018/10/29 01:49:38.000  3664880.5409       1409190.5500        5009618.0859  6 
2018/10/29 01:49:39.000  3664880.7732       1409190.3825        5009618.7940  6 
2018/10/29 01:49:40.000  3664880.0899       1409191.9062        5009617.8879  6 
2018/10/29 01:49:41.000  3664881.2418       1409191.8467        5009617.8939  6 
2018/10/29 01:49:42.000  3664880.8271       1409191.5832        5009617.5518  6 
2018/10/29 01:49:43.000  3664880.5865       1409189.1504        5009617.9272  1 
2018/10/29 01:49:44.000  3664880.7107       1409191.4348        5009619.7567  1 
2018/10/29 01:49:45.000  3664880.4602       1409191.2622        5009618.3475  1 
2018/10/29 01:49:46.000  3664880.8470       1409190.8025        5009617.7456  1 
2018/10/29 01:49:47.000  3664880.6751       1409191.0007        5009618.2516  1 
2018/10/29 01:49:48.000  3664879.6693       1409191.6766        5009618.2645  6 
2018/10/29 01:49:49.000  3664881.9564       1409189.8763        5009618.4760  6 
2018/10/29 01:49:50.000  3664881.5511       1409190.5131        5009617.7504  6 
